no,time,count,message size,span(ns),max(ns),min(ns),avg(ns)
335,2023.03.06 16:56:05,1024,200,8397417,103744,701,8200
336,2023.03.06 16:56:08,1024,200,17151062,208751,683,16749
337,2023.03.06 16:56:10,1024,200,21828440,183975,641,21316
338,2023.03.06 16:56:12,1024,200,10754263,183326,731,10502
339,2023.03.06 16:56:15,1024,200,130169761,3918102,704,127118
340,2023.03.06 16:56:17,1024,200,53279180,307460,769,52030
341,2023.03.06 16:56:19,1024,200,1763278,25685,686,1721
342,2023.03.06 16:56:22,1024,200,71775000,467831,740,70092
343,2023.03.06 16:56:24,1024,200,2506891,41987,713,2448
344,2023.03.06 16:56:26,1024,200,1951617,18612,735,1905
345,2023.03.06 16:56:29,1024,200,1971994,517473,688,1925
346,2023.03.06 16:56:31,1024,200,4159897,536757,734,4062
347,2023.03.06 16:56:33,1024,200,215632446,619409,706,210578
348,2023.03.06 16:56:36,1024,200,11110620,527143,698,10850
349,2023.03.06 16:56:38,1024,200,2359375,552954,663,2304
350,2023.03.06 16:56:40,1024,200,1824236,511192,702,1781
351,2023.03.06 16:56:43,1024,200,2534378261,3038941,2004519,2474978
352,2023.03.06 16:56:45,1024,200,10072116,364548,683,9836
353,2023.03.06 16:56:47,1024,200,66060978,300454,781,64512
354,2023.03.06 16:56:50,1024,200,3032178,33042,838,2961
355,2023.03.06 16:56:52,1024,200,12138664,542203,710,11854
356,2023.03.06 16:56:54,1024,200,13202386,172833,694,12892
357,2023.03.06 16:56:57,1024,200,61410503,388080,730,59971
358,2023.03.06 16:56:59,1024,200,1686272,15733,706,1646
359,2023.03.06 16:57:01,1024,200,12093066,999581,726,11809
360,2023.03.06 16:57:04,1024,200,2322465,37648,721,2268
361,2023.03.06 16:57:06,1024,200,22661632,234439,700,22130
362,2023.03.06 16:57:08,1024,200,9531703,240233,695,9308
363,2023.03.06 16:57:11,1024,200,7476109,555248,697,7300
364,2023.03.06 16:57:13,1024,200,25141665,264402,755,24552
365,2023.03.06 16:57:15,1024,200,590997502,1549618,852,577145
366,2023.03.06 16:57:18,1024,200,30862388,242520,722,30139
367,2023.03.06 16:57:20,1024,200,37433902,252721,794,36556
368,2023.03.06 16:57:22,1024,200,1655062,26337,714,1616
369,2023.03.06 16:57:25,1024,200,44434808,356931,696,43393
370,2023.03.06 16:57:27,1024,200,77791040,376943,736,75967
371,2023.03.06 16:57:29,1024,200,18629645,417663,745,18193
372,2023.03.06 16:57:32,1024,200,25592942,212981,735,24993
373,2023.03.06 16:57:34,1024,200,95003084,533689,830,92776
374,2023.03.06 16:57:36,1024,200,132003743,524672,721,128909
375,2023.03.06 16:57:39,1024,200,1706768,32695,710,1666
376,2023.03.06 16:57:41,1024,200,353974082,1343754,726,345677
377,2023.03.06 16:57:43,1024,200,2197413,59118,712,2145
378,2023.03.06 16:57:45,1024,200,5199096,92745,714,5077
379,2023.03.06 16:57:48,1024,200,95274270,468876,933,93041
380,2023.03.06 16:57:50,1024,200,36657817,209913,706,35798
381,2023.03.06 16:57:52,1024,200,1717921,26480,714,1677
382,2023.03.06 16:57:55,1024,200,1981442,22252,686,1935
383,2023.03.06 16:57:57,1024,200,1810349,25719,818,1767
384,2023.03.06 16:57:59,1024,200,1559911,24012,686,1523
385,2023.03.06 16:58:02,1024,200,102338700,490094,719,99940
386,2023.03.06 16:58:04,1024,200,1706745,117534,755,1666
387,2023.03.06 16:58:07,1024,200,18829235,176266,806,18387
388,2023.03.06 16:58:09,1024,200,12055874,165606,739,11773
389,2023.03.06 16:58:11,1024,200,514265427,965654,724,502212
390,2023.03.06 16:58:14,1024,200,68382452,402672,746,66779
391,2023.03.06 16:58:16,1024,200,1523012,15511,703,1487
